This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 1, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 2, Id: 2, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 3, Id: 3, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 4, Id: 4, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 5, Id: 5, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 6, Id: 6, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 7, Id: 7, Duration: 1, Teachers: Form Teacher 3, Subject: Mathematics, Activity tags: , Students: Form 3
No: 8, Id: 8, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 9, Id: 9, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 10, Id: 10, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 11, Id: 11, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 12, Id: 12, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 13, Id: 13, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 14, Id: 14, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 15, Id: 15, Duration: 1, Teachers: Form Teacher 3, Subject: English, Activity tags: , Students: Form 3
No: 16, Id: 16, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 17, Id: 17, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 18, Id: 18, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 19, Id: 19, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 20, Id: 20, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 21, Id: 21, Duration: 1, Teachers: Form Teacher 3, Subject: Kiswahili, Activity tags: , Students: Form 3
No: 22, Id: 22, Duration: 1, Teachers: Form Teacher 3, Subject: Physical Education / Life Skills, Activity tags: , Students: Form 3
No: 23, Id: 23, Duration: 1, Teachers: Form Teacher 3, Subject: Physical Education / Life Skills, Activity tags: , Students: Form 3
No: 24, Id: 24, Duration: 1, Teachers: Form Teacher 3, Subject: Chemistry, Activity tags: , Students: Form 3
No: 25, Id: 25, Duration: 1, Teachers: Form Teacher 3, Subject: Chemistry, Activity tags: , Students: Form 3
No: 26, Id: 26, Duration: 1, Teachers: Form Teacher 3, Subject: Chemistry, Activity tags: , Students: Form 3
No: 27, Id: 27, Duration: 1, Teachers: Form Teacher 3, Subject: Chemistry, Activity tags: , Students: Form 3
No: 28, Id: 28, Duration: 1, Teachers: Form Teacher 3, Subject: Chemistry, Activity tags: , Students: Form 3
No: 29, Id: 29, Duration: 1, Teachers: Form Teacher 3, Subject: Biology, Activity tags: , Students: Form 3
No: 30, Id: 30, Duration: 1, Teachers: Form Teacher 3, Subject: Biology, Activity tags: , Students: Form 3
No: 31, Id: 31, Duration: 1, Teachers: Form Teacher 3, Subject: Biology, Activity tags: , Students: Form 3
No: 32, Id: 32, Duration: 1, Teachers: Form Teacher 3, Subject: Biology, Activity tags: , Students: Form 3
No: 33, Id: 33, Duration: 1, Teachers: Form Teacher 3, Subject: Biology, Activity tags: , Students: Form 3
No: 34, Id: 34, Duration: 1, Teachers: Form Teacher 3, Subject: Geography, Activity tags: , Students: Form 3
No: 35, Id: 35, Duration: 1, Teachers: Form Teacher 3, Subject: Geography, Activity tags: , Students: Form 3
No: 36, Id: 36, Duration: 1, Teachers: Form Teacher 3, Subject: Geography, Activity tags: , Students: Form 3
No: 37, Id: 37, Duration: 1, Teachers: Form Teacher 3, Subject: Geography, Activity tags: , Students: Form 3
No: 38, Id: 38, Duration: 1, Teachers: Form Teacher 3, Subject: Geography, Activity tags: , Students: Form 3
No: 39, Id: 39, Duration: 1, Teachers: Form Teacher 3, Subject: Business Studies, Activity tags: , Students: Form 3
No: 40, Id: 40, Duration: 1, Teachers: Form Teacher 3, Subject: Business Studies, Activity tags: , Students: Form 3
No: 41, Id: 41, Duration: 1, Teachers: Form Teacher 3, Subject: Business Studies, Activity tags: , Students: Form 3
No: 42, Id: 42, Duration: 1, Teachers: Form Teacher 3, Subject: Business Studies, Activity tags: , Students: Form 3
No: 43, Id: 43, Duration: 1, Teachers: Form Teacher 3, Subject: CRE, Activity tags: , Students: Form 3
No: 44, Id: 44, Duration: 1, Teachers: Form Teacher 3, Subject: CRE, Activity tags: , Students: Form 3
No: 45, Id: 45, Duration: 1, Teachers: Form Teacher 3, Subject: CRE, Activity tags: , Students: Form 3
No: 46, Id: 152, Duration: 1, Teachers: JSS Teacher 7, Subject: English, Activity tags: , Students: Grade 7
No: 47, Id: 153, Duration: 1, Teachers: JSS Teacher 7, Subject: English, Activity tags: , Students: Grade 7
No: 48, Id: 154, Duration: 1, Teachers: JSS Teacher 7, Subject: English, Activity tags: , Students: Grade 7
No: 49, Id: 155, Duration: 1, Teachers: JSS Teacher 7, Subject: English, Activity tags: , Students: Grade 7
No: 50, Id: 156, Duration: 1, Teachers: JSS Teacher 7, Subject: English, Activity tags: , Students: Grade 7
No: 51, Id: 157, Duration: 1, Teachers: JSS Teacher 7, Subject: Kiswahili, Activity tags: , Students: Grade 7
No: 52, Id: 158, Duration: 1, Teachers: JSS Teacher 7, Subject: Kiswahili, Activity tags: , Students: Grade 7
No: 53, Id: 159, Duration: 1, Teachers: JSS Teacher 7, Subject: Kiswahili, Activity tags: , Students: Grade 7
No: 54, Id: 160, Duration: 1, Teachers: JSS Teacher 7, Subject: Kiswahili, Activity tags: , Students: Grade 7
No: 55, Id: 161, Duration: 1, Teachers: JSS Teacher 7, Subject: Mathematics, Activity tags: , Students: Grade 7
No: 56, Id: 162, Duration: 1, Teachers: JSS Teacher 7, Subject: Mathematics, Activity tags: , Students: Grade 7
No: 57, Id: 163, Duration: 1, Teachers: JSS Teacher 7, Subject: Mathematics, Activity tags: , Students: Grade 7
No: 58, Id: 164, Duration: 1, Teachers: JSS Teacher 7, Subject: Mathematics, Activity tags: , Students: Grade 7
No: 59, Id: 165, Duration: 1, Teachers: JSS Teacher 7, Subject: Mathematics, Activity tags: , Students: Grade 7
No: 60, Id: 166, Duration: 1, Teachers: JSS Teacher 7, Subject: Integrated Science, Activity tags: , Students: Grade 7
No: 61, Id: 167, Duration: 1, Teachers: JSS Teacher 7, Subject: Integrated Science, Activity tags: , Students: Grade 7
No: 62, Id: 168, Duration: 1, Teachers: JSS Teacher 7, Subject: Integrated Science, Activity tags: , Students: Grade 7
No: 63, Id: 169, Duration: 1, Teachers: JSS Teacher 7, Subject: Integrated Science, Activity tags: , Students: Grade 7
No: 64, Id: 170, Duration: 1, Teachers: JSS Teacher 7, Subject: Integrated Science, Activity tags: , Students: Grade 7
No: 65, Id: 171, Duration: 1, Teachers: JSS Teacher 7, Subject: Pre-Technical Studies, Activity tags: , Students: Grade 7
No: 66, Id: 172, Duration: 1, Teachers: JSS Teacher 7, Subject: Pre-Technical Studies, Activity tags: , Students: Grade 7
No: 67, Id: 173, Duration: 1, Teachers: JSS Teacher 7, Subject: Pre-Technical Studies, Activity tags: , Students: Grade 7
No: 68, Id: 174, Duration: 1, Teachers: JSS Teacher 7, Subject: Pre-Technical Studies, Activity tags: , Students: Grade 7
No: 69, Id: 175, Duration: 1, Teachers: JSS Teacher 7, Subject: Social Studies, Activity tags: , Students: Grade 7
No: 70, Id: 176, Duration: 1, Teachers: JSS Teacher 7, Subject: Social Studies, Activity tags: , Students: Grade 7
No: 71, Id: 177, Duration: 1, Teachers: JSS Teacher 7, Subject: Social Studies, Activity tags: , Students: Grade 7
